,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1043_ada_agnostic,"('DyS', 'HDy', 'SORD', 'MS', 'SMM', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09407445 0.0939428  0.09339421 0.09330549 0.09312812 0.09258497
 0.09233848 0.09129781 0.08655181 0.08569529 0.08368657]","(np.float64(1.0363175101307325), np.float64(1.0348673472794787), np.float64(1.02882412139143), np.float64(1.0278467800379525), np.float64(1.0258928555798879), np.float64(1.0199095017351132), np.float64(1.017194224304873), np.float64(1.005730229706091), np.float64(0.9534487258102937), np.float64(0.9440133017185814), np.float64(0.9218853480342611))","('SORD', 'DyS', 'SMM', 'MS', 'ACC', 'MAX', 'X', 'PACC', 'HDy', 'CC', 'PCC')","[0.09404388 0.09390434 0.09365998 0.09350534 0.09311831 0.09286172
 0.09286172 0.09158105 0.08996282 0.08277153 0.08172931]","(np.float64(1.0366627578812422), np.float64(1.035124520649043), np.float64(1.0324308644390228), np.float64(1.0307263046758128), np.float64(1.026460029131099), np.float64(1.0236315139289967), np.float64(1.0236315139289967), np.float64(1.009514499077844), np.float64(0.9916764105929605), np.float64(0.9124055072722091), np.float64(0.9009170266985059))"
1460_banana,"('DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09387466 0.09347554 0.09322739 0.09321396 0.09290074 0.0926759
 0.09248287 0.09148001 0.08724873 0.08667052 0.08274968]","(np.float64(1.0340702606061534), np.float64(1.029673738726311), np.float64(1.0269403447127299), np.float64(1.0267923204178246), np.float64(1.0233420848556611), np.float64(1.0208654515935285), np.float64(1.0187391077262586), np.float64(1.0076921901994889), np.float64(0.9610827973480676), np.float64(0.9547135388108907), np.float64(0.9115237169755946))","('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'PCC', 'SMM', 'X', 'CC', 'ACC', 'PACC')","[0.10578948 0.10325591 0.10039821 0.09893798 0.09366456 0.08915022
 0.08662413 0.08416969 0.08341193 0.07851684 0.07608105]","(np.float64(1.1758443839965682), np.float64(1.1476837986690573), np.float64(1.1159206408421896), np.float64(1.0996902387537615), np.float64(1.0410764521837004), np.float64(0.9908998622447879), np.float64(0.9628225480660364), np.float64(0.9355415842965463), np.float64(0.9271191005545584), np.float64(0.8727104492592976), np.float64(0.8456367157864353))"
1462_banknote-authentication,"('DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC')","[0.0952708  0.09492264 0.09454533 0.09404304 0.09384002 0.09360881
 0.09330382 0.09078571 0.08816034 0.08115617 0.08036333]","(np.float64(1.0512771775989387), np.float64(1.0474352870665595), np.float64(1.0432718226238076), np.float64(1.0377292309851935), np.float64(1.0354890135919406), np.float64(1.0329376662906953), np.float64(1.0295722901546043), np.float64(1.001785916235963), np.float64(0.9728158887142445), np.float64(0.8955275922239597), np.float64(0.8867789090609441))","('DyS', 'X', 'MAX', 'SORD', 'MS', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC')","[0.0915267  0.09143178 0.09132985 0.09126179 0.0912246  0.09104701
 0.09103759 0.09103303 0.09067852 0.09002547 0.08940366]","(np.float64(1.0068363664105981), np.float64(1.0057922833923265), np.float64(1.0046709409032697), np.float64(1.003922321352615), np.float64(1.0035131679791207), np.float64(1.001559610256622), np.float64(1.0014559647500887), np.float64(1.0014058541103465), np.float64(0.9975060715222979), np.float64(0.9903221489625265), np.float64(0.983482024366328))"
1466_cardiotocography,"('DyS', 'MAX', 'X', 'HDy', 'SORD', 'SMM', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.10009953 0.0994618  0.09922267 0.09746985 0.09597745 0.09398947
 0.09128868 0.08846085 0.0820485  0.07825699 0.07372422]","(np.float64(1.1111860815690147), np.float64(1.1041067584711532), np.float64(1.1014523022986136), np.float64(1.081994568527123), np.float64(1.0654276685392416), np.float64(1.043359487223166), np.float64(1.0133785761520702), np.float64(0.9819873479698551), np.float64(0.9108049800637795), np.float64(0.8687161564031592), np.float64(0.8183987398234406))","('ACC', 'CC', 'MS', 'SORD', 'HDy', 'MAX', 'X', 'SMM', 'DyS', 'PACC', 'PCC')","[0.0910348  0.0910348  0.0910348  0.0910348  0.09099019 0.09094558
 0.09094558 0.09093326 0.09088899 0.0905786  0.0905786 ]","(np.float64(1.0013857240022652), np.float64(1.0013857240022652), np.float64(1.0013857240022652), np.float64(1.0013857240022652), np.float64(1.0008950070998648), np.float64(1.0004042901974641), np.float64(1.0004042901974641), np.float64(1.0002687371494825), np.float64(0.9997818640832588), np.float64(0.9963675463111372), np.float64(0.9963675463111372))"
1475_first-order-theorem-proving,"('DyS', 'SMM', 'SORD', 'MS', 'X', 'ACC', 'MAX', 'HDy', 'PACC', 'CC', 'PCC')","[0.09204959 0.09199359 0.0919899  0.09195756 0.09178835 0.0917387
 0.09167352 0.09145492 0.08978585 0.08912182 0.0864462 ]","(np.float64(1.0128735664740927), np.float64(1.0122573740205003), np.float64(1.0122167537471514), np.float64(1.0118608138459577), np.float64(1.0099989311167403), np.float64(1.0094525819096065), np.float64(1.0087354378833422), np.float64(1.0063299771889027), np.float64(0.9879643664476326), np.float64(0.9806575669181706), np.float64(0.9512162506112251))","('SORD', 'DyS', 'SMM', 'MS', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09409626 0.09397771 0.0939024  0.09381473 0.09366366 0.09310652
 0.09307686 0.09210436 0.08577376 0.08443165 0.0820521 ]","(np.float64(1.0372616615560803), np.float64(1.0359548890701673), np.float64(1.0351246275404127), np.float64(1.034158235565752), np.float64(1.0324929616613043), np.float64(1.0263513159340734), np.float64(1.0260243901058137), np.float64(1.015304168946311), np.float64(0.9455193159114901), np.float64(0.9307247435380116), np.float64(0.9044939807487289))"
1479_hill-valley,"('X', 'MAX', 'SORD', 'DyS', 'SMM', 'HDy', 'MS', 'ACC', 'PCC', 'PACC', 'CC')","[0.10270991 0.10157228 0.10051958 0.10022626 0.09839986 0.09401972
 0.08933573 0.08269663 0.07861604 0.07778733 0.07411667]","(np.float64(1.14382771621869), np.float64(1.1311584695518078), np.float64(1.1194351256393662), np.float64(1.1161686244580888), np.float64(1.095828938140785), np.float64(1.0470495011187106), np.float64(0.9948863288212586), np.float64(0.9209500297668036), np.float64(0.8755065671946871), np.float64(0.8662776718995785), np.float64(0.8253993897055703))","('HDy', 'MAX', 'X', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'PCC', 'CC', 'PACC')","[0.09754721 0.09723563 0.09723563 0.09684189 0.09590148 0.09529975
 0.09512476 0.09477272 0.08410366 0.07757579 0.06836148]","(np.float64(1.0852220283087366), np.float64(1.0817555957464497), np.float64(1.0817555957464497), np.float64(1.0773752634245337), np.float64(1.066913138953881), np.float64(1.0602188165696966), np.float64(1.058272057836145), np.float64(1.0543555026453917), np.float64(0.935661231445988), np.float64(0.8630380497293885), np.float64(0.7605279617435949))"
1485_madelon,"('PACC', 'PCC', 'X', 'ACC', 'CC', 'MS', 'HDy', 'SORD', 'MAX', 'DyS', 'SMM')","[0.09740704 0.09740704 0.09700636 0.09520213 0.09520213 0.0912221
 0.08788522 0.08772331 0.08667058 0.0822811  0.08199298]","(np.float64(1.0753072326005078), np.float64(1.0753072326005078), np.float64(1.0708840270572946), np.float64(1.0509665447064918), np.float64(1.0509665447064918), np.float64(1.0070297256441572), np.float64(0.9701929023709832), np.float64(0.9684054860862867), np.float64(0.9567840506307723), np.float64(0.9083272256565061), np.float64(0.9051465658271136))","('SORD', 'MS', 'SMM', 'DyS', 'MAX', 'CC', 'PACC', 'PCC', 'ACC', 'X', 'HDy')","[0.09198834 0.09198216 0.09192793 0.09166485 0.09160617 0.09087684
 0.09071732 0.09015561 0.08977901 0.08977901 0.08952275]","(np.float64(1.0119679346660377), np.float64(1.011899994940426), np.float64(1.011303436770268), np.float64(1.0084092343258089), np.float64(1.0077637424477948), np.float64(0.9997403181130782), np.float64(0.9979853838879158), np.float64(0.9918060455773612), np.float64(0.9876630866756075), np.float64(0.9876630866756075), np.float64(0.9848439444255547))"
1489_phoneme,"('DyS', 'SORD', 'MS', 'MAX', 'X', 'SMM', 'ACC', 'CC', 'PACC', 'HDy', 'PCC')","[0.09148507 0.09138395 0.09134612 0.09130076 0.09130076 0.09125611
 0.09108106 0.09096332 0.09053649 0.09010065 0.08924571]","(np.float64(1.0063842119013962), np.float64(1.0052718033048698), np.float64(1.0048556685742764), np.float64(1.0043567307019305), np.float64(1.0043567307019305), np.float64(1.0038655792615065), np.float64(1.0019398889742088), np.float64(1.0006447328204748), np.float64(0.9959492974638054), np.float64(0.9911548353783004), np.float64(0.9817501103778777))","('DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC')","[0.09496448 0.09474971 0.09441471 0.09387897 0.09387897 0.09381717
 0.0936376  0.09134805 0.08788633 0.08095146 0.08047254]","(np.float64(1.0479104572217501), np.float64(1.045540442636338), np.float64(1.0418438268390051), np.float64(1.035932093147235), np.float64(1.035932093147235), np.float64(1.0352500692289939), np.float64(1.03326865225942), np.float64(1.0080039738967013), np.float64(0.9698046926709285), np.float64(0.893280080807419), np.float64(0.8879952737554276))"
1494_qsar-biodeg,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC')","[0.0915267  0.09143178 0.09132985 0.09126179 0.0912246  0.09104701
 0.09103759 0.09103303 0.09067852 0.09002547 0.08940366]","(np.float64(1.0068363664105981), np.float64(1.0057922833923265), np.float64(1.0046709409032697), np.float64(1.003922321352615), np.float64(1.0035131679791207), np.float64(1.001559610256622), np.float64(1.0014559647500887), np.float64(1.0014058541103465), np.float64(0.9975060715222979), np.float64(0.9903221489625265), np.float64(0.983482024366328))","('HDy', 'DyS', 'MS', 'SMM', 'SORD', 'MAX', 'ACC', 'CC', 'PACC', 'X', 'PCC')","[0.09416256 0.09351252 0.09240838 0.09235257 0.09195354 0.09089759
 0.09073837 0.09045418 0.09022    0.08840086 0.08489942]","(np.float64(1.0364905223209493), np.float64(1.0293352575113286), np.float64(1.0171814706657316), np.float64(1.0165671142183008), np.float64(1.0121748252275993), np.float64(1.0005514373889786), np.float64(0.9987988441220356), np.float64(0.995670678328602), np.float64(0.9930929477056463), np.float64(0.9730688785266743), np.float64(0.9345268962384633))"
1496_ringnorm,"('DyS', 'HDy', 'SMM', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC')","[0.0919179  0.09182407 0.09171232 0.09164081 0.09163299 0.0912429
 0.0912429  0.09110624 0.0904694  0.08926851 0.08794198]","(np.float64(1.0112565575397583), np.float64(1.0102243417358752), np.float64(1.0089948127770705), np.float64(1.008208067032674), np.float64(1.008122080644323), np.float64(1.0038303780532596), np.float64(1.0038303780532596), np.float64(1.0023269262833634), np.float64(0.9953205267425236), np.float64(0.9821087337342073), np.float64(0.9675145206686672))","('DyS', 'SORD', 'MS', 'SMM', 'MAX', 'HDy', 'ACC', 'X', 'PACC', 'CC', 'PCC')","[0.09370908 0.09346845 0.0934135  0.09325114 0.09322365 0.09256761
 0.09229786 0.09188907 0.0873396  0.08621991 0.08262013]","(np.float64(1.032320616886452), np.float64(1.029669805766344), np.float64(1.0290644302983938), np.float64(1.0272758667252373), np.float64(1.0269729361730289), np.float64(1.0197458719447456), np.float64(1.0167743038606567), np.float64(1.0122709021449103), np.float64(0.9621529404099162), np.float64(0.9498181709516011), np.float64(0.9101621571747611))"
1497_wall-robot-navigation,"('DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC')","[0.09496448 0.09474971 0.09441471 0.09387897 0.09387897 0.09381717
 0.0936376  0.09134805 0.08788633 0.08095146 0.08047254]","(np.float64(1.0479104572217501), np.float64(1.045540442636338), np.float64(1.0418438268390051), np.float64(1.035932093147235), np.float64(1.035932093147235), np.float64(1.0352500692289939), np.float64(1.03326865225942), np.float64(1.0080039738967013), np.float64(0.9698046926709285), np.float64(0.893280080807419), np.float64(0.8879952737554276))","('DyS', 'MS', 'SMM', 'SORD', 'HDy', 'ACC', 'X', 'MAX', 'PACC', 'CC', 'PCC')","[0.09373636 0.09361295 0.09346536 0.09340649 0.0930754  0.09294223
 0.09260304 0.09249881 0.08698221 0.08502264 0.0826545 ]","(np.float64(1.032837321419776), np.float64(1.0314775062744517), np.float64(1.0298513067556336), np.float64(1.0292026392971754), np.float64(1.0255544270308359), np.float64(1.0240871025771505), np.float64(1.020349778189978), np.float64(1.0192013105537747), np.float64(0.9584164853153407), np.float64(0.9368248510798308), np.float64(0.910731463135639))"
